Comprimeto de onda (nm);Leitura
200.0;0.0
202.0;0.0
204.0;0.0
206.0;0.0
208.0;0.0
210.0;0.0
212.0;0.0
214.0;0.0
216.0;0.0
218.0;0.0
220.0;0.0
222.0;0.0
224.0;0.0
226.0;0.0
228.0;0.0
230.0;0.0
232.0;0.0
234.0;0.0
236.0;0.0
238.0;0.0
240.0;0.0
242.0;0.0
244.0;0.0
246.0;0.0
248.0;0.0
250.0;0.0
252.0;0.0
254.0;0.0
256.0;0.0
258.0;0.0
260.0;0.0
262.0;0.0
264.0;0.0
266.0;0.0
268.0;0.0
270.0;0.0
272.0;0.0
274.0;0.0
276.0;0.0
278.0;0.0
280.0;0.0
282.0;0.0
284.0;0.1
286.0;0.1
288.0;0.2
290.0;0.5
292.0;0.9
294.0;1.6
296.0;2.6
298.0;4.1
300.0;6.1
302.0;8.7
304.0;12.0
306.0;15.8
308.0;20.1
310.0;24.7
312.0;29.7
314.0;34.7
316.0;39.5
318.0;44.2
320.0;48.8
322.0;53.1
324.0;57.1
326.0;60.6
328.0;64.0
330.0;67.0
332.0;69.6
334.0;71.9
336.0;73.9
338.0;75.6
340.0;77.1
342.0;78.4
344.0;79.5
346.0;80.4
348.0;81.2
350.0;81.9
352.0;82.4
354.0;82.9
356.0;83.2
358.0;83.5
360.0;83.8
362.0;84.0
364.0;84.1
366.0;84.3
368.0;84.3
370.0;84.4
372.0;84.4
374.0;84.4
376.0;84.4
378.0;84.3
380.0;84.4
382.0;84.5
384.0;84.8
386.0;85.0
388.0;85.2
390.0;85.5
392.0;85.7
394.0;85.8
396.0;86.0
398.0;86.1
400.0;86.2
402.0;86.2
404.0;86.3
406.0;86.3
408.0;86.3
410.0;86.3
412.0;86.3
414.0;86.3
416.0;86.3
418.0;86.3
420.0;86.4
422.0;86.4
424.0;86.4
426.0;86.4
428.0;86.4
430.0;86.4
432.0;86.4
434.0;86.5
436.0;86.5
438.0;86.5
440.0;86.5
442.0;86.6
444.0;86.6
446.0;86.7
448.0;86.8
450.0;86.8
452.0;86.9
454.0;87.0
456.0;87.0
458.0;87.1
460.0;87.2
462.0;87.2
464.0;87.3
466.0;87.3
468.0;87.4
470.0;87.4
472.0;87.5
474.0;87.5
476.0;87.6
478.0;87.6
480.0;87.7
482.0;87.7
484.0;87.7
486.0;87.8
488.0;87.8
490.0;87.8
492.0;87.9
494.0;87.9
496.0;87.9
498.0;88.0
500.0;88.0
502.0;88.0
504.0;88.1
506.0;88.1
508.0;88.1
510.0;88.1
512.0;88.2
514.0;88.2
516.0;88.2
518.0;88.3
520.0;88.3
522.0;88.3
524.0;88.3
526.0;88.3
528.0;88.4
530.0;88.4
532.0;88.4
534.0;88.5
536.0;88.5
538.0;88.5
540.0;88.5
542.0;88.5
544.0;88.6
546.0;88.6
548.0;88.6
550.0;88.6
552.0;88.7
554.0;88.7
556.0;88.7
558.0;88.7
560.0;88.7
562.0;88.7
564.0;88.7
566.0;88.7
568.0;88.7
570.0;88.7
572.0;88.7
574.0;88.7
576.0;88.7
578.0;88.8
580.0;88.7
582.0;88.7
584.0;88.7
586.0;88.7
588.0;88.7
590.0;88.7
592.0;88.7
594.0;88.7
596.0;88.7
598.0;88.7
600.0;88.7
602.0;88.7
604.0;88.7
606.0;88.7
608.0;88.7
610.0;88.7
612.0;88.7
614.0;88.7
616.0;88.7
618.0;88.7
